Ключ,Значение,Название,Варианты,Пояснение,Не встречается
赤,красный,あか,,"Древняя идеограмма@@@ от которой произошел иероглиф «красный»@@@ изображала «большой» и «костер@@@ огонь».
Таким образом вполне понятно значение иероглифа - «ярко-красный».
В современном языке иероглиф имеет также значения: «алый@@@ рыжий@@@ бурый»@@@ «советский@@@ революционный»@@@ «искренний@@@ откровенный@@@ чистосердечный» и др.
В качестве ключевого знака иероглиф «красный» мало-употребителен.",
走,бежать,はしる,,"Древний рисунок изображал человека@@@ размахивающего руками@@@ и след ноги. Эта идеограмма стала основой иероглифу «идти».
В современном языке иероглиф означает: «ходить@@@ двигаться@@@ действовать@@@ уходить@@@ отбывать»@@@ «быстро идти@@@ бежать»@@@ «пускать в ход@@@ пользоваться» и др.
Иероглиф «идти» является сильным ключевым знаком.",
足,нога,あし,⻊,"Первоначальное значение пиктограммы «нога» - нога человека в целом@@@ начиная от бедра.
Современный иероглиф употребляется в значениях: «нога@@@ ступня@@@ стопа»@@@ «ножка@@@ подставка@@@ цоколь». В качестве глагола может иметь значения: «быть достаточным@@@ обладать нужными качествами» и др.
Иероглиф «нога» является сильным ключевым знаком.",
身,тело,み,,"Древняя пиктограмма@@@ ставшая прообразом современного иероглифа «тело»@@@ изображала человека с большим туловищем.
Иероглиф употребляется также в значениях: «туловище@@@ торс@@@ корпус@@@ фигура»@@@ «костюм@@@ комплект одежды»@@@ «Я@@@ сам@@@ самолично»@@@ «человек@@@ личность@@@ индивидуальность»@@@ «бремя@@@ плод» (в чреве беременной) и др.
В качестве ключевого знака «тело» используется редко.",
車,колесо@@@ машина,くるま,,"Древняя пиктограмма «повозка» очень точно передает устройство боевой колесницы@@@ запрягавшейся парой лошадей.
В современном языке иероглиф употребляется в значениях: «повозка@@@ телега@@@ коляска@@@ экипаж@@@ тачка@@@ машина@@@ воз». Также означает сокращенно любое средство передвижения на колесах@@@ например@@@ велосипед@@@ вагон@@@ поезд и т.д.
Иероглиф «повозка» является сильным ключевым знаком.",
辛,пряный,からい,,"Истинное происхождение иероглифа «терпкий» определить достаточно сложно@@@ поскольку существует несколько совершенно различных версий. Предлагаем наиболее@@@ на наш взгляд@@@ простую: древняя идеограмма изображала рот и какое-то растение@@@ вкус которого был терпкий и острый.
В современном языке иероглиф употребляется в значениях: «терпкий@@@ острый»@@@ «тяжелый@@@ страдный»@@@ «горький@@@ скорбный».
В качестве ключевого знака иероглиф «терпкий» малоупотребителен.",
辰,знак Дракона@@@ утро,しんのたつ,,"Иероглиф «звезда» состоял из нескольких компонентов. Две горизонтальные линии обозначали небесные созвездия
во время появления которых происходили изменения (七) с растениями (изонутая линия). Таким образом древние китайцы отобразили сразу несколько значений: «месяц май или третий лунный месяц» - время бурного цветения и роста растений@@@ «время» и «звезда». Элемент 厂 в иероглифе был фонетическим. В современном языке@@@ кроме перечисленных выше@@@ иероглиф также обозначает: «день@@@ час»@@@ «счастливая пора@@@ удачное время»@@@ «небесные тела»@@@ в знаках Зодиака
- «Весы» и «год Дракона».
В качестве ключевого знака иероглиф «звезда» мало-употребителен.",
辵,дорога@@@ ходьба,ちゃく,辶@@@⻌,"Иероглиф «быстро идти» произошел от той же пиктограммы@@@ что и ключ 廴. Иероглиф также используется в значении «идти (бежать) с остановками».
Полная форма иероглифа 辵 довольно сложна@@@ поэтому его употребляют в сокращенном виде.
Иероглиф «быстро идти» - сильный ключевой знак.",
邑,деревня@@@ сельское общество@@@ место где собираются люди,ゆう,阝,"Древняя идеограмма изображала владение@@@ территорию (квадратик сверху) и человека. Таким образом получился иероглиф «город@@@ владение@@@ поселение@@@ населенный пункт@@@ поселок@@@ деревня@@@ район@@@ населенная местность» и др.
Иероглиф «город» является сильным ключевым знаком.
Располагается преимущественно в правой части сложных знаков в виде 阝.",
酉,сакэ@@@ вино,ひよみのとり,,"Древняя пиктограмма@@@ ставшая праосновой иероглифа «вино»@@@ изображала сосуд для его приготовления. Иероглиф используется также для обозначения сосудов для изготовления вина. Кроме этих значений иероглиф может означать «орошать@@@ поливать» и др.
В качестве ключевого знака иероглиф «вино» малоупотребителен.",
釆,делить@@@ отделять,のごめ,,"Современный иероглиф «различать» (следы диких зверей)@@@ внешне похожий на иероглифы «злак» или «зерно»@@@ произошел от древнего изображения отпечатка следа животного или зверя.
Самостоятельно иероглиф употребляется только в этом значении.
В качестве ключевого знака используется редко.",
里,деревня,さと,,"Древняя идеограмма@@@ состоявшая из рисунков «поле@@@ межа» и «земля»@@@ образовала иероглиф «измерять@@@ размежевывать (землю)».
В современном языке иероглиф употребляется также в значениях: «верста@@@ миля@@@ квартал@@@ проулок»@@@ «деревня@@@ поселок@@@ усадьба@@@ дом» и др.
В качестве ключевого знака иероглиф «верста» используется сравнительно нечасто.",
金,золото@@@ металл,かね,釒,"Древний знак «металл» состоял из нескольких компонентов@@@ изображавших размельченную руду и выплавленные слитки.
Самостоятельно иероглиф употребляется в значениях «золото»@@@ «деньги»@@@ «металл» в различных аспектах.
В сложносоставных иероглифах ключ «металл» располагается в левой части знака и вносит перечисленные выше значения@@@ в основном обозначая нечто металлическое@@@ остальная часть знака уточняет предмет.
Иероглиф «металл» - сильный ключевой знак.",
長,длинный,ながい,镸,"В древней пиктограмме «длинный» подчеркнуты длинные развевающиеся волосы человека.
Современный иероглиф имеет множество значений: «длинный@@@ продолговатый@@@ удлиненный»@@@ «долгий@@@ продолжительный@@@ постоянный»@@@ «высокий@@@ бесконечный@@@ бескрайний»@@@ «старший@@@ главный@@@ первый@@@ начальник»@@@ «расти@@@ увеличиваться@@@ возрастать»@@@ «длина@@@ расстояние»@@@ «корень@@@ исток@@@ начало» и др.
Несмотря на обилие значений самого иероглифа@@@ в
Качестве ключевого знака «длинный» малоупотребителен.",
門,ворота,もんがまえ,,"Древняя пиктограмма@@@ которая была основой современного иероглифа «ворота»@@@ изображала створки дверей.
Иероглиф используется также в значениях: «двери@@@ ка-литка@@@ проход@@@ вход@@@ отверстие». В переносном смысле означает «семья@@@ род@@@ родной дом@@@ родовитость@@@ знатность» и др.
Иероглиф «ворота» является сильным ключевым знаком.",
阜,холм,おか,阝‚𨸏,"Нагромождение друг на друга нескольких каменных глыб образовали древнюю пиктограмму «бугор»@@@ «холм».
В своей полной форме иероглиф практически не употребляется.
Сокращенная  форма «бугра» 阝
располагается в левой
части сложных иероглифов@@@ иногда внося собственное значение.
Иероглиф «бугор» - сильный ключевой знак.",
隶,раб,れいづくり,,"Древняя пиктограмма изображала руку@@@ держащую хвост животного или зверя.
В современном языке иероглиф@@@ произошедший от этого рисунка@@@ обозначает «доходить@@@ достигать».
В качестве ключевого знака иероглиф «доходить@@@ достигать» малоупотребителен.",
隹,старая птица@@@ голубь,ふるとり,,"На древнем рисунке была изображена птица с распущенными крыльями и коротким хвостом. Эта пиктограмма стала основой современного иероглифа «голубь».
Иероглиф употребляется также в значениях «курица» и «короткохвостая птица». Так же@@@ как и знак «птица» этот ключ может обозначать отряд пернатых в составе сложных иероглифов.
«Голубь» - сильный ключевой знак.",
雨,дождь,あめ,⻗,"Древняя пиктограмма дождя изображала капли воды@@@ падающие с неба. Таким образом появился иероглиф «дождь»@@@ который также используется в переносном смысле «ручьи»@@@ «потоки».
Это сильный ключевой знак@@@ который обычно располагается в верхней части иеротлифов в виде ⻗. В идеограммах он обозначает нечто падающее с неба
или связанное с влагой@@@ снегом@@@ паром или облаком.",
青,синий@@@ зелёный,あお,,"Древняя идеограмма изображала колодец и цветущую рядом с ним зелень. Произошедший от нее иероглиф употребляется в значениях: «зеленеть@@@ зеленый@@@ ярко-зеленый@@@ ярко-синий»@@@ «весенний@@@ молодой@@@ цветущий»@@@ «яркий@@@ густой@@@ глубокий@@@ богатый (о цвете)» и др.
В качестве ключевого знака иероглиф «зеленый» мало-употребителен.",
非,неправильный,あらず,,"Древняя идеограмма изображала растопыренные в разные стороны крылья птицы@@@ что противоестественно@@@ т.к. птицы при посадке складывают крылья. Таким образом китайцы передали в иероглифе-идеограмме смысл: «ошибка@@@ оплошность»@@@
В современном языке иероглиф имеет также значения: «ложь@@@ обман@@@ зло@@@ неправота@@@ плохой@@@ вредный» и др.
В качестве ключевого знака иероглиф «ошибка» малоупотребителен.",
面,поверхность,めん,,"Древняя пиктограмма@@@ изображавшая овал с глазом@@@ обозначала лицо.
Современный иероглиф используется в значениях: «лицо@@@ лицевой@@@ лично@@@ лицом к лицу»@@@ «физиономия@@@ мина@@@ наружность@@@ облик@@@ внешность» и др.
В качестве ключевого знака иероглиф «лицо» малоупотребителен.",
革,кожа,つくりがわ,,"Древний знак «выделанная кожа» отличался от «сырой кожи» тем@@@ что к шкуре животного были приложены усилия двух рук.
Современный иероглиф употребляется в значениях: «кожа» (сыромятная)@@@ «грубая кожа» (человека)@@@ «доспехи@@@ латы»@@@ а также «изменять»@@@ «обновлять».
В качестве ключевого знака иероглиф используется сравнительно редко. В сложных иероглифах располагается@@@ как правило@@@ в левой части.",
韋,выдубленная кожа,なめしがわ,,"Древний знак «мягкая кожа» изображал кожу@@@ которую мяли ногами.
Современный иероглиф используется в значениях: «выделанная (мягкая) кожа»@@@ «мягкий@@@ слабый».
В качестве ключевого знака иероглиф малоупотребителен.",
韭,лук-порей,にら,,"Современный иероглиф «лук» произошел от древнего рисунка@@@ изображавшего молодые побеги лука.
Иероглиф самостоятельно употребляется в значениях «лук-порей» или «душистый лук».
В качестве ключевого знака используется редко.",+
音,звук,おと,,"Древняя пиктограмма «звук» отличается от «речи» лишь тем@@@ что в нижней части знака присутствует не «рот»@@@ а «говорить».
Современный иероглиф применяется в значениях: «звук@@@ шум@@@ тембр@@@ тон»@@@ «чтение@@@ произношение@@@ звучание»@@@ «новости@@@ известие@@@ весточка@@@ письмо» и др.
В качестве ключевого знака иероглиф «звук» малоупотребителен.",
頁,большая раковина@@@ голова,おおがい,,"Древняя пиктограмма «голова» изображала человека с крупной головой.
современном языке иероглиф применяется в
значениях: «голова»@@@ «лист@@@ страница».
Иероглиф «голова» является сильным ключевым знаком.",
風,ветер,かぜ,,"Иероглиф-ключ «ветер» восходит своими корнями к древней пиктограмме «насекомое».
Самостоятельно и в сочетании с другими иероглифами в зависимости от контекста может иметь множество значений: «овевать»@@@ «объявлять»@@@ «обычаи»@@@ «нравы»@@@ «стиль»@@@ «манера»@@@ «способ» и др.
В качестве ключа иероглиф малоупотребителен.",
飛,летать,とぶ ,,"Современный иероглиф «полет» восходит корнями к древней пиктограмме летящей птицы.
Самостоятельно иероглиф имеет значения: «летать»@@@ «парить» (в воздухе)@@@ «нестись» и др.@@@ а также «птица»@@@ «пернатые»@@@ «летающие насекомые».
В качестве ключа иероглиф малоупотребителен.",
食,еда,しょくへん,飠‚⻞,"Изображение сосуда@@@ наполненного едой и закрытого крышкой@@@ стало прообразом иероглифа «еда».
Иероглиф используется также в значениях: «пища@@@ питание@@@ корм@@@ фураж@@@ принимать пищу@@@ есть@@@ питать-ся@@@ иероглиф «еда» является сильным ключевым знаком.",
首,шея,くび,,"Древняя пиктограмма «макушка» изображала голову с волосами на макушке.
Современный иероглиф используется в значениях: «го-лова@@@ глава@@@ лидер@@@ вождь@@@ предводитель»@@@ «главное@@@ основ-ное@@@ суть» и др.
В качестве ключевого знака иероглиф «макушка» малоупотребителен.",
香,запах,かおり,,"Иероглиф «запах»@@@ «благоухание» произошел от рисунков «рот» и «злак».
Вполне очевидно@@@ что таким образом китайцы отразили в иероглифе-идеограмме древний способ чистить зубы: некоторые травы при разжевывании источали чудесный аромат и очищали поверхность зубов.
Самостоятельно иероглиф употребляется также в значениях «ароматный»@@@ «вкусный»@@@ «прекрасный»@@@ «аппетитный».
В качестве ключевого знака иероглиф малоупотребителен.",
馬,лошадь,うま,,"На древней пиктограмме@@@ имея достаточно воображения@@@ не сложно узнать лошадь: выделены голова@@@ грива@@@ ноги и хвост.
Самостоятельно иероглиф употребляется в значениях: «лошадь»@@@ «конь». В переносном смысле может обозначать: «огромный@@@ крупный@@@ как конь».
В качестве ключевого знака иероглиф «конь» употребляется нечасто.",
骨,кость,ほね,⻣,"Древний знак «кость» изображал трубчатую кость какого-то животного с частью сустава.
Современный иероглиф используется в значениях:
«Кость»@@@ «остов»@@@ «каркас»@@@ «скелет». В переносном смысле может означать «характер».
В качестве ключевого знака «кость» употребляется редко@@@ располагается в левой части сложных знаков.",
高,высокий,たかい,,"Древняя пиктограмма «высокий» возникла на основе изображения дома с башней. В современном языке иероглиф@@@ произошедший от этой пиктограммы@@@ используется в зависимости от контекста в значениях: «высокий@@@
большой@@@ особенный@@@ сильный@@@ мощный@@@ громкий@@@ почетный@@@ благородный “высота@@@ рост” и др. В качестве ключевого знака «высокий» мало-
употребителен.",
髟,длинные волосы,かみかんむり,,"Иероглиф «космы» восходит корнями к пиктограммам «длинный» и «шерсть».
Иероглиф имеет также значения: «длинные распущенные волосы@@@ длинная шерсть (у животного)».
В качестве ключевого знака иероглиф «космы» употребляется сравнительно редко.",
鬥,сломанные ворота@@@ самурайская битва,たたかいがまえ,,"Древняя идеограмма@@@ от которой произошел современный иероглиф «борьба»@@@ изображала направленные друг против друга пики людей@@@ приготовившихся к сражению.
Иероглиф употребляется также в значениях «бороться@@@ биться@@@ сражаться@@@ драться@@@ состязаться@@@ соревноваться@@@ соперничать@@@ спорить».
В качестве ключевого знака иероглиф «борьба» мало-употребителен.",
鬯,травы,においざけ,,"Древняя пиктограмма изображала сосуд@@@ в котором что-то приготавливалось@@@ и человека. Иероглиф@@@ произошедший от этой пиктограммы@@@ используется в значении «жертвенное вино (приготовленное из проса и душистых трав)».
В качестве ключевого знака иероглиф «вино» мало-употребителен.",+
鬲,тренога,れき,,"Древний рисунок@@@ от которого произошел иероглиф «треножник»@@@ изображал специфической формы котел на трех ногах. В этом значении иероглиф используется и поныне.
В качестве ключевого знака иероглиф «треножник»
малоупотребителен.",+
鬼,демон,おに,,"На древнем рисунке@@@ от которого произошел иероглиф «дьявол»@@@ был изображен человек с головой демона.
В современном языке иероглиф имеет значения: «оборотень@@@ привидение@@@ нечистая сила@@@ злой дух@@@ черт@@@ бес@@@ дьявол@@@ демон@@@ душа умершего» и «каверзы@@@ пакости@@@ дьявольские штучки».
В качестве ключевого знака иероглиф употребляется сравнительно редко.",
魚,рыба,うお,,"Древняя пиктограмма «рыба» изображала рыбу с чешуей@@@ плавниками и хвостом.
Кроме этого значения иероглиф употребляется в названиях рыб и водяных животных@@@ употребляемых в пищу@@@ а также может обозначать кожу рыбы или морского животного для поделок.
«Рыба» - сильный ключевой знак.",
鳥,птица,とり,,"Древняя пиктограмма изображала птицу с распушенным хвостом. С этим значением иероглиф вошел в современный язык.
«Птица» - сильный ключевой знак@@@ используемый в сложных иероглифах@@@ как правило@@@ для обозначения отношения к отряду пернатых какой-либо разновидности.",
鹵,соль,しお,,"Древняя пиктограмма@@@ от которой произошел иероглиф «соль»@@@ изображала некий сосуд@@@ наполненный кусочками кристаллической соли. В современном языке иероглиф имеет также значения: «солончаки@@@ солончаковая пустыня@@@ залежи соли@@@ рассол@@@ сваренный в рассоле».
В качестве ключевого знака иероглиф «соль» мало-употребителен.",+
鹿,олень,しか,,"Древнее изображение оленя схоже с рисунком лошади@@@ причем были выделены рога.
Современный иероглиф «олень» используется также в значениях: «трон@@@ императорская власть»@@@ «амбар@@@ склад@@@ хранилище»@@@ «рог для вина».
В качестве ключевого знака иероглиф «олень» употребляется редко.",
麥,пшеница,むぎ,麦,"Иероглиф «пшеница» произошел от древнего рисунка@@@ схожего с пиктограммой «злак» 禾@@@ в отличие от которого на стебле были изображены зерна.
Как правило@@@ этот довольно сложный в написании знак заменяют более простым 麦 .
Самостоятельно иероглиф употребляется в значениях: «хлебный злак»@@@ «зерновые»@@@ а также для общего названия зерновых культур.
В качестве ключа знак малопродуктивен.",
麻,лён@@@ конопля,あさ,,"Древняя идеограмма «конопля» изображала крышу дома и сложенные под ней густорастущие побеги конопли.
Современный иероглиф употребляется в значениях: «конопля@@@ пакля@@@ гашиш»@@@ «онемение@@@ оцепенение@@@ паралич»@@@ «изделие из конопли@@@ изготовленное под шелк»@@@ «простое холщовое платье».
В качестве ключевого знака иероглиф «конопля» употребляется сравнительно редко.",
黃,желтый,き,,"Идеограмма «желтый» восходит корнями к изображению огня и поля. Очевидно@@@ что такой сложной идеограммой древние китайцы хотели передать как можно больше возможных цветов: от золотисто-желтого цвета пламени до желто-песочного - цвета спелой пшеницы или земли.
В современном языке иероглиф употребляется в значениях: «желтый@@@ соловый@@@ рыжий@@@ золотисто-желтый@@@ золотистый (императорский цвет)»@@@ «императорский@@@ высочайший@@@ августейший»@@@ «желтеть@@@ вянуть@@@ золотиться» и др.
В качестве ключевого знака иероглиф малоупотребителен.",
黍,просо,きび,,"Иероглиф-ключ «просо» произошел от соединения двух пиктограмм - «злак» и «вода». Очевидно@@@ что для выращивания этого злака в древности требовалось обилие воды@@@ поэтому образовался иероглиф-идеограмма@@@ ставший позднее самостоятельным ключевым иероглифом.
На Востоке из проса изготавливался алкогольный напиток@@@ сравнимый с пивом.
Самостоятельно иероглиф обозначает «просо».
В качестве ключа малоупотребителен.",
黒,чёрный,くろ,,"Древняя идеограмма изображала огонь в камине и дымоход. Таким образом был передан в иероглифе черный цвет - цвет сажи.
В современном языке иероглиф употребляется в значениях: «черный@@@ темный@@@ темнеть@@@ меркнуть»@@@ «тайный@@@ нелегальный@@@ преступный»@@@ «темнота@@@ потемки@@@ ночь@@@ вечер» и др.
В качестве ключевого знака иероглиф «черный» мало-употребителен.",
黹,шитьё,ぬいとり,,"иероглиф-идеограмма «вышивка» восходит корнями к двум знакам - «одежда»( внизу) и «красивый» (вверху).
Дополнительные черточки у «одежды» показывали ее изношенность@@@ а знак «красивый»@@@ таким образом@@@ указывал на то@@@ что ее зашивали.
В современном языке иероглиф имеет значения: «вышивка@@@ вышитое платье@@@ вышивание».
В качестве ключевого знака иероглиф «вышивка» малоупотребителен.",+
黽,лягушка,かえる,,"Иероглиф «лягушка@@@ жаба» произошел от древнего рисунка@@@ на котором была изображена голова и туловище лягушки.
Кроме этих значений иероглиф используется в качестве глагола «стараться@@@ напрягаться».
Из-за сложности его начертания на письме применяют сокращенную форму 黾.
В качестве ключевого знака иероглиф «лягушка»
употребляется редко.",+
鼎,тренога,かなえ,,"В основе иероглифа «треножник» лежит изображение сосуда специфической формы с двумя ушками. Выделение этого вида сосуда в отдельный иероглиф связано с его предназначением кроме приготовления пищи: жертвоприношений и казни через сварение.
В современном языке иероглиф имеет также значения: «треножники-регалии императорской власти@@@ опора престола@@@ высшие сановники@@@ ответственный пост» и др.
В качестве ключевого знака иероглиф малоупотребителен.",
鼓,барабанный бой,つづみ,,"Древняя идеограмма@@@ ставшая праосновой иероглифа
«Барабан»@@@ изображала барабан и руку с палкой. В современном языке иероглиф используется также в значениях: «играть на барабане@@@ атаковать (в древности сигналом служили удары барабана)@@@ возбуждать@@@ подбодрять@@@ воодушевлять» и др.
В качестве ключевого знака иероглиф «барабан» мало-употребителен.",
鼠,мышь,ねずみ,,"Древний рисунок мыши стал прообразом современному иероглифу «мышь»@@@ «крыса».
Кроме этих значений иероглиф обозначает мелких животных@@@ живущих в дуплах или норах. Иероглиф используется также в переносном значении «вредитель@@@ злодей@@@ супостат».
В качестве ключевого знака иероглиф «мышь» мало-употребителен.",
鼻,нос,はな,,"Современный иероглиф «нос» восходит корнями к древней пиктограмме@@@ изображавшей часть лица и широкий нос монголоидной расы.
Иероглиф употребляется в значениях: «нос»@@@ «ручка@@@ ушко@@@ носик (предмета)»@@@ «первенец».
В качестве ключевого знака иероглиф «нос» употребляется крайне редко.",
齊,равный,せい,斉,"Древняя идеограмма изображала плотно и равномерно стоящие колосья ржи или риса@@@ тем самым передавая смысл «ровный@@@ упорядоченный».
В современном языке иероглиф употребляется в значениях: «ровный@@@ правильный@@@ опрятный@@@ аккуратный» и «собирать воедино@@@ приводить в порядок@@@ выравнивать@@@ полностью@@@ целиком@@@ совместно» и др.
В качестве ключевого знака иероглиф «ровный» мало-употребителен. В силу своей сложности знак используется в сокращенной форме 斉 .",
齒,зуб,は,歯,"Современный иероглиф «зубы» восходит корнями к древней пиктограмме@@@ изображавшей@@@ вероятно@@@ бугорки на поверхности коренного зуба.
Иероглиф используется в значениях: «зуб@@@ зубец@@@ зубчатый»@@@ «бивень@@@ слоновая кость»@@@ «грызть@@@ хватать зубами@@@ определять возраст по зубам». В переносном смысле имеет значения: «годы@@@ возраст» и др.
В качестве ключевого знака иероглиф «зубы» мало-употребителен.",
竜,дракон,りゅう,龍,"Современный иероглиф «дракон» произошел от древней пиктограммы@@@ изображавшей это сказочное существо.
Кроме этого иероглиф может употребляться
B значениях: «государь@@@ император»@@@ «любовь@@@ ласка@@@ благосклонность@@@ милость»@@@ «гармония@@@ согласие@@@ мир»@@@ «вы-дающаяся личность@@@ знаменитость@@@ гений».
В качестве ключевого знака «дракон» малоупотребителен.",
龜,черепаха,かめ,亀,"На древней пиктограмме не так сложно узнать черепаху@@@ послужившую прообразом современному иероглифу.
Кроме самой «черепахи» современный иероглиф имеет несколько значений: «долголетие» (черепаха - символ жизнеспособности и долголетия)@@@ «деньги» (черепаховый панцирь служил в древности монетой)@@@ «печать@@@ ручка которой изображает черепаху»@@@ «черепаха-оракул@@@ гадание на панцире». Кроме этого иероглиф может быть глаголами: «потрескаться@@@ пойти трещинами».
В качестве ключевого знака «черепаха» малоупотребительна.",
龠,флейта,やく,,"Древняя пиктограмма изображала бамбуковую свирель с несколькими отверстиями. В значении «свирель» иероглиф используется и поныне.
В качестве ключевого знака иероглиф «свирель» мало-употребителен.",+
